type,name,duration,interval
note,G3,0.5,M2
note,D6,0.25,M2
note,F6,0.25,M2
note,E-4,0.5,m2
note,E-6,0.25,M2
note,D6,0.25,M2
note,G3,0.5,P8
chord,C6.D6,0.25,P1
note,C6,0.5,P1
note,D3,0.5,P8
note,B5,0.5,P1
note,G3,0.5,P1
note,D4,0.5,P1
note,D6,0.25,P1
note,C6,0.25,P1
note,G3,0.5,P8
note,B5,0.25,P1
note,F6,0.25,P1
note,B2,0.5,P8
note,E-6,0.25,P1
note,D6,0.25,P1
note,G3,0.5,P1
note,C6,0.25,P1
note,B5,0.25,P1
note,D4,0.5,P8
note,G#5,0.25,P1
note,G5,0.25,P1
note,G3,0.5,P8
chord,F5.G5,0.25,P1
note,F5,0.5,P1
note,C3,0.5,P1
note,E-5,0.5,P8
note,G3,0.5,P1
note,E-4,0.5,P1
note,C6,0.25,P1
note,B5,0.25,P8
note,G3,0.5,P1
note,C6,0.25,P1
note,D6,0.25,P1
note,C3,0.5,P1
note,C6,0.25,m3
note,E-6,0.25,m3
note,G3,0.5,m3
note,D6,0.25,M9
note,F6,0.25,m10
note,E-4,0.5,m6
note,E-6,0.25,A8
note,D6,0.25,A10
note,G3,0.5,M10
chord,C6.D6,0.25,P8
note,C6,0.5,m3
note,D3,0.5,m3
note,B5,0.5,M2
note,G3,0.5,m17
note,D4,0.5,P19
note,D6,0.25,P15
note,C6,0.25,M10
note,G3,0.5,M13
note,B5,0.25,P15
note,F6,0.25,P12
note,B2,0.5,P11
note,E-6,0.25,M13
note,D6,0.25,P15
note,G3,0.5,m10
note,C6,0.25,P5
note,B5,0.25,m10
note,D4,0.5,m13
note,G#5,0.25,P8
note,G5,0.25,m7
note,G3,0.5,P11
note,F5,0.25,P12
note,E-5,0.25,P8
chord,C4.G3.E-3.C3,1.5,M3
note,C5,0.25,M6
note,E-5,0.25,P11
note,G5,0.25,P8
note,C6,0.25,P4
note,C5,0.25,d7
note,B-5,0.25,d11
chord,E4.E3,0.5,P8
note,B-4,0.25,P4
note,G#5,0.25,P8
chord,F4.C4.G#3.F3,1.5,A9
note,G#4,0.25,A5
note,C5,0.25,P19
note,F5,0.25,m24
note,G#5,0.25,m17
note,G#4,0.25,P1
note,G5,0.25,P1
chord,E-4.E-3,0.5,P8
note,G4,0.25,P1
note,F5,0.25,P1
chord,D4.B3.F3.D3,1.5,P8
note,F4,0.25,P1
note,B4,0.25,P1
note,D5,0.25,P1
note,F5,0.25,P8
note,F4,0.25,M3
note,E-5,0.25,m3
chord,G3.G2,0.5,A2
note,E-4,0.25,m3
note,D5,0.25,M3
chord,B3.B2,1.0,m3
note,G4,0.25,m3
note,B4,0.25,m3
note,D5,0.25,m2
note,F5,0.25,P15
note,B4,0.25,P5
note,D5,0.25,m6
note,F5,0.25,M13
note,B5,0.25,m2
note,D5,0.25,M17
note,F5,0.25,P18
note,B5,0.25,M2
note,D6,0.25,M23
note,G5,0.25,P22
note,B5,0.25,m3
note,D6,0.25,m20
note,F6,0.25,P19
note,E-6,0.25,m3
note,D6,0.25,M16
note,C6,0.25,P15
note,B5,0.25,m2
chord,B3.D4.G4,0.75,P19
note,G#5,0.25,m21
note,G5,0.25,M20
note,F5,0.25,M17
note,E-5,0.5,P5
chord,G4.E-4.C4,1.0,P15
note,G5,0.5,M2
chord,C4.G3.E-3,1.0,P18
note,C5,0.25,M17
note,D5,0.5,d5
chord,D4.G#3.F3,1.0,d26
note,F5,0.5,d25
chord,F4.D4.G3,1.0,m2
note,B4,0.25,P19
note,C5,0.5,P18
note,C4,0.5,m2
note,G5,0.5,M13
note,E-4,0.5,A11
note,F5,0.5,d1
note,G4,0.5,P15
note,E-5,0.5,P18
note,E-4,0.5,m17
note,D5,0.5,m13
note,B3,0.5,m6
note,G#5,0.5,M13
note,F4,0.5,m2
note,G5,0.5,M17
note,G#4,0.5,P18
note,F5,0.5,M2
note,F4,0.5,M23
note,E-5,0.5,P22
note,C4,0.5,m3
note,E-6,0.5,m20
note,E-4,0.5,P19
note,D6,0.5,m3
note,G4,0.5,M16
note,C6,0.5,P15
note,E-4,0.5,m2
note,B5,0.5,P19
note,F3,0.5,m21
note,D6,0.5,M20
note,D4,0.5,M17
note,G5,0.5,P5
note,G3,0.5,P15
note,B5,0.5,M2
note,F4,0.5,P18
note,C6,0.5,M17
note,C4,0.5,d5
note,G5,0.5,d26
note,E-4,0.5,d25
note,F5,0.5,m2
note,G4,0.5,P19
note,E-5,0.5,P18
note,E-4,0.5,m2
note,D5,0.5,M13
note,B-3,0.5,A11
note,G#5,0.5,d1
note,F4,0.5,P15
note,G5,0.5,m14
note,G#4,0.5,M2
note,F5,0.5,m3
note,F4,0.5,M3
note,E-5,0.5,P4
note,G3,0.5,P8
note,B-5,0.5,m7
note,B-3,0.5,A6
note,G#5,0.5,d4
note,E-4,0.5,P4
note,G5,0.5,A2
note,B-3,0.5,P8
note,C6,0.5,d8
note,G#3,0.5,m7
note,G#5,0.5,A4
note,C4,0.5,m3
note,G5,0.5,m3
note,F4,0.5,P8
note,F5,0.5,m7
note,C4,0.5,M7
note,E-5,0.5,P4
chord,D4.B-3,1.0,M3
note,D5,0.5,m3
note,C5,0.5,P8
note,B-4,0.5,m9
note,A4,0.5,M7
note,B-4,0.5,M3
note,F5,0.5,m3
note,G#4,0.5,m3
note,G4,1.0,d5
note,E-3,0.5,m3
note,G3,0.5,m3
chord,G4.E-4,1.0,A4
note,B-3,0.5,M6
note,G3,0.5,m3
chord,G4.E-4,1.0,A4
note,D3,0.5,m3
note,G3,0.5,P5
chord,G4.E-4,1.0,M3
note,B-3,0.5,m3
note,G3,0.5,m3
chord,G4.E-4,1.0,M2
note,C3,0.5,m2
note,E-3,0.5,m2
chord,G4.E-4,1.0,M2
note,G3,0.5,M2
note,E-3,0.5,m2
chord,E-4.G4,1.75,m2
note,A2,0.5,M2
note,E-5,1.5,M2
note,E-3,0.5,m2
note,G3,0.5,M2
note,E-3,0.5,m2
chord,G4.B-4.G5,1.25,d1
note,B-2,0.5,M2
note,E-3,0.5,M2
note,G3,0.5,M2
note,G4,0.5,m2
note,E-3,0.5,P15
note,B-4,0.5,m3
note,B-2,0.5,M3
note,G#4,0.5,P4
note,F3,0.5,M3
note,G4,0.5,d4
note,G#3,0.5,m3
note,F4,0.5,M20
note,F3,0.5,P18
note,E-4,0.5,P4
note,E-3,0.5,P4
note,G4,0.5,A2
note,G3,0.5,d5
note,B-4,0.5,A18
note,B-3,0.5,P22
note,G5,0.5,d22
note,G3,0.5,P22
note,F5,0.5,m21
note,D3,0.5,m17
note,D5,0.5,m16
note,F3,0.5,m14
note,B-4,0.5,M13
note,B-3,0.5,P15
note,G#4,0.5,m14
note,F3,0.5,P15
note,G4,1.0,m17
note,E-3,0.5,P15
note,G3,0.5,M17
chord,G4.E-4,1.0,P15
note,B-3,0.5,m20
note,G3,0.5,m17
chord,G4.E-4,1.0,M16
note,D3,0.5,m17
note,G3,0.5,P15
chord,G4.E-4,1.0,M13
note,B-3,0.5,P11
note,G3,0.5,P8
chord,G4.E-4,1.0,m7
note,C3,0.5,m10
note,E-3,0.5,m7
chord,G4.E-4,1.0,P8
note,G3,0.5,m3
note,E-3,0.5,M3
chord,E-4.G4,1.75,P4
note,A2,0.5,M3
note,E-5,1.5,d4
note,E-3,0.5,m3
note,G3,0.5,M20
note,E-3,0.5,P15
chord,G4.B-4.G5,1.25,m3
note,B-2,0.5,m3
note,E-3,0.5,A2
note,G3,0.5,d4
note,E-5,0.5,A12
note,E-3,0.5,P15
note,B-5,0.5,d15
note,B-2,0.5,P15
note,G#5,0.5,m14
note,F3,0.5,m10
note,G5,0.5,m9
note,G#3,0.5,m7
note,F5,0.5,M6
note,F3,0.5,P8
note,E-5,0.5,m7
chord,G3.E-3,1.0,M3
note,G5,0.5,P4
note,B-5,0.5,m2
note,G6,0.5,m3
note,D6,0.5,P5
note,F6,0.5,M2
note,F5,0.5,P5
chord,B-4.F4.D4,1.0,m2
note,G#5,0.5,d5
note,G5,0.5,M2
chord,B-4.G4.E-4,0.5,M3
note,B-5,0.5,m3
note,E-5,0.5,m2
chord,G3.B-3.E-4,0.75,m3
note,G5,0.5,P5
note,F5,0.5,M2
chord,F4.C4.G#3,0.5,P5
note,G#5,0.5,m2
note,D5,0.5,d5
chord,B-3.F4.G#4,0.75,M2
note,F5,0.5,d1
note,E-5,0.5,M2
chord,G4.E-4,1.0,M2
note,G5,0.5,m2
note,B-5,0.5,M2
note,G6,0.5,m3
note,D6,0.5,m3
note,F6,0.5,m3
note,F5,0.5,M9
chord,B-4.F4.D4,1.0,m10
note,G#5,0.5,m6
note,G5,0.5,A8
chord,B-4.G4.E-4,0.5,A10
note,B-5,0.5,M10
note,E-5,0.5,P8
chord,G3.B-3.E-4,0.75,m3
note,G5,0.5,m3
note,F5,0.5,M2
chord,F4.C4.G#3,0.5,m17
note,G#5,0.5,P19
note,D5,0.5,P15
chord,B-3.D4.F4.G#4,0.75,M10
note,F5,0.5,M13
note,E-5,0.5,P15
chord,G4.E-4,1.0,P12
note,G5,0.5,P11
note,F5,0.5,M13
note,E-5,0.5,P15
note,D5,0.5,m10
note,C5,0.5,P5
note,B-4,0.5,m10
chord,B-3.D3,1.0,m13
note,G#4,0.5,P8
chord,D4.G#4,1.75,m7
chord,E-3.B-3,2.75,P11
chord,G4.E-4,1.0,P12
chord,G5.G4,1.75,P8
note,G2,0.5,M3
note,G3,0.5,M6
note,G3,0.5,P11
note,G3,0.5,P8
chord,F5.G#4,0.5,P4
note,G3,0.5,d7
chord,E-5.G4,0.5,d11
note,G3,0.5,P8
chord,D5.F4,0.5,P4
note,G3,0.5,P8
chord,C5.E-4,0.5,A9
note,G3,0.5,A5
chord,C5.G4.E-4,2.0,P19
note,G2,0.5,m24
note,G3,0.5,m17
note,G3,0.5,P1
note,G3,0.5,P1
chord,B4.D4,1.0,P8
note,G3,0.5,P1
note,G3,0.5,P1
note,G3,0.5,P8
note,G3,0.5,P1
chord,G#5.F5,1.75,P1
note,G2,0.5,P1
note,G3,0.5,P8
note,G3,0.5,M3
note,G3,0.5,m3
chord,G5.E-5,0.5,A2
note,G3,0.5,m3
chord,F5.D5,0.5,M3
note,G3,0.5,m3
chord,E-5.C5,0.5,m3
note,G3,0.5,m3
chord,D5.B4,0.5,m2
note,G3,0.5,P15
chord,D5.B4,2.0,P5
note,G2,0.5,m6
note,G3,0.5,M13
note,G3,0.5,m2
note,G3,0.5,M17
chord,E-5.C5,1.0,P18
note,G3,0.5,M2
note,G3,0.5,M23
note,G3,0.5,P22
note,G3,0.5,m3
chord,E-6.G5,1.75,m20
note,G2,0.5,P19
note,G3,0.5,m3
note,G3,0.5,M16
note,G3,0.5,P15
chord,D6.F5,0.5,m2
note,G3,0.5,P19
chord,C6.E-5,0.5,m21
note,G3,0.5,M20
chord,B5.D5,0.5,M17
note,G3,0.5,P5
chord,C6.E-5,0.5,P15
note,G3,0.5,M2
chord,B5.D5,0.25,P18
note,G2,0.5,M17
note,G3,0.5,d5
chord,G#5.E-5.C5,1.0,d26
note,G3,0.5,d25
note,G3,0.5,m2
chord,G5.D5.B4,0.25,P19
note,G3,0.5,P18
note,G3,0.5,m2
chord,G#5.E-5.C5,1.0,M13
note,G3,0.5,A11
note,G3,0.5,d1
chord,G5.D5.B4,0.25,P15
note,G2,0.5,P18
note,G3,0.5,m17
chord,C5.F#4.E-4,1.0,m13
note,G3,0.5,m6
note,G3,0.5,M13
chord,B4.D4,0.25,m2
note,G3,0.5,M17
note,G3,0.5,P18
chord,C5.F#4.E-4,1.0,M2
note,G3,0.5,M23
note,G3,0.5,P22
chord,B4.D4,0.25,m3
note,G2,0.5,m20
note,G3,0.5,P19
chord,F#4.C4,1.0,m3
note,G3,0.5,M16
note,G3,0.5,P15
chord,G4.B3,0.25,m2
note,G3,0.5,P19
note,G3,0.5,m21
note,G3,0.5,M20
note,G3,0.5,M17
chord,G4.D4.B3,1.75,P5
note,B4,0.5,P15
note,D5,0.5,M2
note,F5,0.5,P18
note,D5,0.5,M17
note,C4,0.5,d5
note,E-5,0.5,d26
note,G4,0.5,d25
note,G#5,0.5,m2
note,E-4,0.5,P19
note,G5,0.5,P18
note,G4,0.5,m2
chord,B4.G4.D4.B3,1.75,M13
note,B5,0.5,A11
note,D6,0.5,d1
note,F6,0.5,P15
note,E-6,0.5,m14
note,C4,0.5,M2
note,G6,0.5,m3
note,G4,0.5,M3
note,B5,0.5,P4
note,D4,0.5,P8
note,D6,0.5,m7
note,G4,0.5,A6
note,C6,0.5,d4
note,E-4,0.5,P4
note,E-6,0.5,A2
note,C5,0.5,P8
note,G5,0.5,d8
note,E4,0.5,m7
note,C6,0.5,A4
note,C5,0.5,m3
note,B-5,0.5,m3
note,F4,0.5,P8
note,C6,0.5,m7
note,C5,0.5,M7
note,E5,0.5,P4
note,G4,0.5,M3
note,C6,0.5,m3
note,C5,0.5,P8
note,F5,0.5,m9
note,G#4,0.5,M7
note,C6,0.5,M3
note,C5,0.5,m3
note,F5,0.5,m3
note,F4,0.5,d5
note,G#5,0.5,m3
note,C5,0.5,m3
chord,G5.E-5,0.5,A4
note,G4,1.0,M6
chord,F5.D5,0.5,m3
chord,E-5.C5,0.5,A4
note,G3,1.0,m3
chord,D5.B4,0.5,P5
note,G4,1.75,M3
note,C2,0.5,m3
note,E-5,1.5,m3
note,C3,0.5,M2
note,C3,0.5,m2
note,C3,0.5,m2
chord,D5.F4,0.5,M2
note,C3,0.5,M2
chord,C5.E-4,0.5,m2
note,C3,0.5,m2
chord,B4.D4,0.5,M2
note,C3,0.5,M2
chord,C5.E-4,0.5,m2
note,C3,0.5,M2
chord,G4.E-4,1.75,m2
note,C2,0.5,d1
note,C3,0.5,M2
note,C3,0.5,M2
note,C3,0.5,M2
chord,G5.E-5,0.5,m2
note,C3,0.5,P15
chord,F5.D5,0.5,m3
note,C3,0.5,M3
chord,E-5.C5,0.5,P4
note,C3,0.5,M3
chord,D5.B4,0.5,d4
note,C3,0.5,m3
chord,E-5.C5,1.0,M20
note,C2,0.5,P18
note,C3,0.5,P4
chord,E5.C5.B-4,1.0,P4
note,C3,0.5,A2
note,C3,0.5,d5
chord,F5.C5.G#4,1.0,A18
note,C3,0.5,P22
note,C3,0.5,d22
chord,G4.C5.G5,0.75,P22
note,C3,0.5,m21
note,C3,0.5,m17
chord,G#5.C5.G#4,1.5,m16
note,F2,1.0,m14
note,F3,1.0,M13
chord,G5.B-4,0.5,P15
chord,F5.G#4,0.5,m14
chord,E-5.G4,0.5,P15
chord,D5.F4,0.5,m17
chord,C5.E-4,0.5,P15
chord,B4.D4,1.0,M17
chord,B4.G4,0.5,P15
chord,F3.F2,1.0,m20
chord,C5.G4,0.5,m17
chord,E-3.E-2,1.0,M16
chord,D5.G4,0.5,m17
chord,D3.D2,1.0,P15
chord,E-5.C5.G4,0.5,M13
chord,C3.C2,0.5,P11
chord,F5.D5.G4,1.75,P8
chord,B2.B1,1.75,m7
chord,D5.B4.G4,1.0,m10
chord,F3.F2,1.0,m7
chord,E-3.E-2,1.0,P8
note,G5,0.25,m3
note,E-5,0.25,M3
note,C5,0.25,P4
chord,F3.F2,1.0,M3
note,G#5,0.25,d4
note,F5,0.25,m3
note,D5,0.25,M20
chord,G3.G2,1.0,P15
note,G5,0.25,m3
note,E-5,0.25,m3
note,C5,0.25,A2
chord,G3.G2,1.0,d4
note,F5,0.25,A12
note,D5,0.25,P15
note,B4,0.25,d15
note,C5,1.0,P15
note,C3,0.5,m14
note,G3,0.5,m10
note,E-4,0.5,m9
note,C6,0.25,m7
note,B5,0.25,M6
note,G3,0.5,P8
note,C6,0.25,m7
note,D6,0.25,M3
note,C3,0.5,P4
note,C6,0.25,m2
note,E-6,0.25,m3
note,G3,0.5,P5
note,D6,0.25,M2
note,F6,0.25,P5
note,E-4,0.5,m2
note,E-6,0.25,d5
note,D6,0.25,M2
note,G3,0.5,M3
chord,C6.D6,0.25,m3
note,C6,0.5,m2
note,D3,0.5,m3
note,B5,0.5,P5
note,G3,0.5,M2
note,D4,0.5,P5
note,D6,0.25,m2
note,C6,0.25,d5
note,G3,0.5,M2
note,B5,0.25,d1
note,F6,0.25,M2
note,B2,0.5,M2
note,E-6,0.25,m2
note,D6,0.25,M2
